attendance,away_final_score,away_team,date,g_id,home_final_score,home_team,umpire_1B,umpire_2B,umpire_3B,umpire_HP,venue_name,weather,wind
24804.0,7.0,kca,2017-09-04,201702052,6.0,det,Cory Blaser,Laz Diaz,Doug Eddings,Jeff Nelson,Comerica Park,"74 degrees, cloudy","13 mph, R to L"
22403.0,4.0,mil,2017-09-04,201702053,5.0,cin,Chad Whitson,Mike Winters,Marty Foster,Mike Muchlinski,Great American Ball Park,"83 degrees, sunny","12 mph, R to L"
12108.0,4.0,min,2017-09-04,201702054,11.0,tba,Eric Cooper,Adrian Johnson,Gabe Morales,Bill Welke,Tropicana Field,"72 degrees, dome","0 mph, None"
37622.0,7.0,nya,2017-09-04,201702055,4.0,bal,James Hoye,Sean Barber,Jeff Kellogg,Will Little,Oriole Park at Camden Yards,"82 degrees, partly cloudy","8 mph, Out to LF"
28808.0,7.0,phi,2017-09-04,201702056,11.0,nyn,Greg Gibson,Ramon De Jesus,Sam Holbrook,D.J. Reyburn,Citi Field,"78 degrees, sunny","13 mph, Out to CF"
28300.0,3.0,sfn,2017-09-04,201702057,4.0,col,Andy Fletcher,Alan Porter,Chris Segal,Joe West,Coors Field,"90 degrees, partly cloudy","3 mph, Out to RF"
25028.0,2.0,sln,2017-09-04,201702058,0.0,sdn,Bill Miller,Ryan Additon,Todd Tichenor,Adam Hamari,Petco Park,"73 degrees, overcast","9 mph, L to R"
23474.0,8.0,tex,2017-09-04,201702059,2.0,atl,Carlos Torres,Ryan Blakney,Jerry Meals,Ron Kulpa,SunTrust Park,"79 degrees, partly cloudy","6 mph, In from RF"
34311.0,10.0,tor,2017-09-04,201702060,4.0,bos,Marvin Hudson,Shane Livensparger,Jerry Layne,Dan Bellino,Fenway Park,"73 degrees, clear","16 mph, Out to LF"
17349.0,7.0,was,2017-09-04,201702061,2.0,mia,Brian O'Nora,Nic Lentz,Paul Emmel,Quinn Wolcott,Marlins Park,"79 degrees, roof closed","0 mph, None"
11110.0,8.0,ana,2017-09-05,201702062,7.0,oak,Mike Everitt,Scott Barry,Jordan Baker,Tom Woodring,Oakland Coliseum,"72 degrees, partly cloudy","14 mph, Out to RF"
47039.0,3.0,ari,2017-09-05,201702063,1.0,lan,Chad Fairchild,Larry Vanover,Alfonso Marquez,David Rackley,Dodger Stadium,"76 degrees, clear","4 mph, L to R"
14079.0,3.0,chn,2017-09-05,201702064,4.0,pit,Paul Nauert,Roberto Ortiz,Chris Guccione,Dana DeMuth,PNC Park,"69 degrees, cloudy","7 mph, Varies"
12369.0,9.0,cle,2017-09-05,201702065,4.0,cha,Manny Gonzalez,Mark Carlson,CB Bucknor,Tim Timmons,Guaranteed Rate Field,"63 degrees, cloudy","15 mph, In from RF"
14568.0,3.0,hou,2017-09-05,201702066,1.0,sea,Mark Wegner,Lance Barrett,Jim Reynolds,Ben May,Safeco Field,"71 degrees, cloudy","1 mph, Varies"
22547.0,2.0,kca,2017-09-05,201702067,13.0,det,Laz Diaz,Doug Eddings,Jeff Nelson,Cory Blaser,Comerica Park,"66 degrees, partly cloudy","11 mph, R to L"
12135.0,3.0,mil,2017-09-05,201702068,9.0,cin,Mike Winters,Marty Foster,Mike Muchlinski,Chad Whitson,Great American Ball Park,"72 degrees, partly cloudy","10 mph, Varies"
